date,iso_code,c6
2020-11-07,DEU,1.0
2020-11-08,DEU,1.0
2020-11-09,DEU,1.0
2020-11-10,DEU,1.0
2020-11-11,DEU,1.0
2020-11-12,DEU,1.0
2020-11-13,DEU,1.0
2020-11-14,DEU,1.0
2020-11-15,DEU,1.0
2020-11-16,DEU,1.0
2020-11-17,DEU,1.0
2020-11-18,DEU,1.0
2020-11-19,DEU,1.0
2020-11-20,DEU,1.0
2020-11-21,DEU,1.0
2020-11-22,DEU,1.0
2020-11-23,DEU,1.0
2020-11-24,DEU,1.0
2020-11-25,DEU,1.0
2020-11-26,DEU,1.0
2020-11-27,DEU,1.0
2020-11-28,DEU,1.0
2020-11-29,DEU,1.0
2020-11-30,DEU,1.0
2020-12-01,DEU,1.0
2020-12-02,DEU,1.0
2020-12-03,DEU,1.0
2020-12-04,DEU,1.0
2020-12-05,DEU,1.0
2020-12-06,DEU,1.0
2020-12-07,DEU,1.0
2020-12-08,DEU,1.0
2020-12-09,DEU,1.0
2020-12-10,DEU,1.0
2020-12-11,DEU,1.0
2020-12-12,DEU,1.0
2020-12-13,DEU,1.0
2020-12-14,DEU,1.0
2020-12-15,DEU,1.0
2020-12-16,DEU,2.0
2020-12-17,DEU,2.0
2020-12-18,DEU,2.0
2020-12-19,DEU,2.0
2020-12-20,DEU,2.0
2020-12-21,DEU,2.0
2020-12-22,DEU,2.0
2020-12-23,DEU,2.0
2020-12-24,DEU,2.0
2020-12-25,DEU,2.0
2020-12-26,DEU,2.0
2020-12-27,DEU,2.0
2020-12-28,DEU,2.0
2020-12-29,DEU,2.0
2020-12-30,DEU,2.0
2020-12-31,DEU,2.0
2021-01-01,DEU,2.0
2021-01-02,DEU,2.0
2021-01-03,DEU,2.0
2021-01-04,DEU,2.0
2021-01-05,DEU,2.0
2021-01-06,DEU,2.0
2021-01-07,DEU,2.0
2021-01-08,DEU,2.0
2021-01-09,DEU,2.0
2021-01-10,DEU,2.0
2021-01-11,DEU,2.0
2021-01-12,DEU,2.0
2021-01-13,DEU,2.0
2021-01-14,DEU,2.0
2021-01-15,DEU,2.0
2021-01-16,DEU,2.0
2021-01-17,DEU,2.0
2021-01-18,DEU,2.0
2021-01-19,DEU,2.0
2021-01-20,DEU,2.0
2021-01-21,DEU,2.0
2021-01-22,DEU,2.0
2021-01-23,DEU,2.0
2021-01-24,DEU,2.0
2021-01-25,DEU,2.0
2021-01-26,DEU,2.0
2021-01-27,DEU,2.0
2021-01-28,DEU,2.0
2021-01-29,DEU,2.0
2021-01-30,DEU,2.0
2021-01-31,DEU,2.0
2021-02-01,DEU,2.0
2021-02-02,DEU,2.0
2021-02-03,DEU,2.0
2021-02-04,DEU,2.0
2021-02-05,DEU,2.0
2021-02-06,DEU,2.0
2021-02-07,DEU,2.0
2021-02-08,DEU,2.0
2021-02-09,DEU,2.0
2021-02-10,DEU,2.0
2021-02-11,DEU,2.0
2021-02-12,DEU,2.0
2021-02-13,DEU,2.0
2021-02-14,DEU,2.0
2021-02-15,DEU,2.0
2021-02-16,DEU,2.0
2021-02-17,DEU,2.0
2021-02-18,DEU,2.0
2021-02-19,DEU,2.0
2021-02-20,DEU,2.0
2021-02-21,DEU,2.0
2021-02-22,DEU,2.0
2021-02-23,DEU,2.0
2021-02-24,DEU,2.0
2021-02-25,DEU,2.0
2021-02-26,DEU,2.0
2021-02-27,DEU,2.0
2021-02-28,DEU,2.0
2021-03-01,DEU,2.0
2021-03-02,DEU,2.0
2021-03-03,DEU,2.0
2021-03-04,DEU,2.0
2021-03-05,DEU,2.0
2021-03-06,DEU,2.0
2021-03-07,DEU,2.0
2021-03-08,DEU,2.0
2021-03-09,DEU,2.0
2021-03-10,DEU,2.0
2021-03-11,DEU,2.0
2021-03-12,DEU,2.0
2021-03-13,DEU,2.0
2021-03-14,DEU,2.0
2021-03-15,DEU,2.0
2021-03-16,DEU,2.0
2021-03-17,DEU,2.0
2021-03-18,DEU,2.0
2021-03-19,DEU,2.0
2021-03-20,DEU,2.0
2021-03-21,DEU,2.0
2021-03-22,DEU,2.0
2021-03-23,DEU,2.0
2021-03-24,DEU,2.0
2021-03-25,DEU,2.0
2021-03-26,DEU,2.0
2021-03-27,DEU,2.0
2021-03-28,DEU,2.0
2021-03-29,DEU,2.0
2021-03-30,DEU,2.0
2021-03-31,DEU,2.0
2021-04-01,DEU,2.0
2021-04-02,DEU,2.0
2021-04-03,DEU,2.0
2021-04-04,DEU,2.0
2021-04-05,DEU,2.0
2021-04-06,DEU,2.0
2021-04-07,DEU,2.0
2021-04-08,DEU,2.0
2021-04-09,DEU,2.0
2021-04-10,DEU,2.0
2021-04-11,DEU,2.0
2021-04-12,DEU,2.0
2021-04-13,DEU,2.0
2021-04-14,DEU,2.0
2021-04-15,DEU,2.0
2021-04-16,DEU,2.0
2021-04-17,DEU,2.0
2021-04-18,DEU,2.0
2021-04-19,DEU,2.0
2021-04-20,DEU,2.0
2021-04-21,DEU,2.0
2021-04-22,DEU,2.0
2021-04-23,DEU,2.0
2021-04-24,DEU,2.0
2021-04-25,DEU,2.0
2021-04-26,DEU,2.0
2021-04-27,DEU,2.0
2021-04-28,DEU,2.0
2021-04-29,DEU,2.0
2021-04-30,DEU,2.0
2021-05-01,DEU,2.0
2021-05-02,DEU,2.0
2021-05-03,DEU,2.0
2021-05-04,DEU,2.0
2021-05-05,DEU,2.0
2021-05-06,DEU,2.0
2021-05-07,DEU,2.0
2021-05-08,DEU,2.0
2021-05-09,DEU,2.0
2021-05-10,DEU,2.0
2021-05-11,DEU,2.0
2021-05-12,DEU,2.0
2021-05-13,DEU,2.0
2021-05-14,DEU,2.0
2021-05-15,DEU,2.0
2021-05-16,DEU,2.0
2021-05-17,DEU,2.0
2021-05-18,DEU,2.0
2021-05-19,DEU,2.0
2021-05-20,DEU,2.0
2021-05-21,DEU,2.0
2021-05-22,DEU,2.0
2021-05-23,DEU,2.0
2021-05-24,DEU,2.0
2021-05-25,DEU,2.0
2021-05-26,DEU,2.0
2021-05-27,DEU,2.0
2021-05-28,DEU,2.0
2021-05-29,DEU,2.0
2021-05-30,DEU,2.0
2021-05-31,DEU,2.0
2021-06-01,DEU,2.0
2021-06-02,DEU,2.0
2021-06-03,DEU,2.0
2021-06-04,DEU,2.0
2021-06-05,DEU,2.0
2021-06-06,DEU,1.0
2021-06-07,DEU,1.0
2021-06-08,DEU,1.0
2021-06-09,DEU,1.0
2021-06-10,DEU,1.0
2021-06-11,DEU,1.0
2021-06-12,DEU,1.0
2021-06-13,DEU,1.0
2021-06-14,DEU,1.0
2021-06-15,DEU,1.0
2021-06-16,DEU,1.0
2021-06-17,DEU,1.0
2021-06-18,DEU,1.0
2021-06-19,DEU,1.0
2021-06-20,DEU,1.0
2021-06-21,DEU,1.0
2021-06-22,DEU,1.0
2021-06-23,DEU,1.0
2021-06-24,DEU,1.0
2021-06-25,DEU,1.0
2021-06-26,DEU,1.0
2021-06-27,DEU,1.0
2021-06-28,DEU,1.0
2021-06-29,DEU,1.0
2021-06-30,DEU,1.0
2021-07-01,DEU,1.0
2021-07-02,DEU,1.0
2021-07-03,DEU,1.0
2021-07-04,DEU,1.0
2021-07-05,DEU,1.0
2021-07-06,DEU,1.0
2021-07-07,DEU,1.0
2021-07-08,DEU,1.0
2021-07-09,DEU,1.0
2021-07-10,DEU,1.0
2021-07-11,DEU,1.0
2021-07-12,DEU,1.0
2021-07-13,DEU,1.0
2021-07-14,DEU,1.0
2021-07-15,DEU,1.0
2021-07-16,DEU,1.0
2021-07-17,DEU,1.0
2021-07-18,DEU,1.0
2021-07-19,DEU,1.0
2021-07-20,DEU,1.0
2021-07-21,DEU,1.0
2021-07-22,DEU,1.0
2021-07-23,DEU,1.0
2021-07-24,DEU,1.0
2021-07-25,DEU,1.0
2021-07-26,DEU,1.0
2021-07-27,DEU,1.0
2021-07-28,DEU,1.0
2021-07-29,DEU,1.0
2021-07-30,DEU,1.0
2021-07-31,DEU,1.0
2021-08-01,DEU,1.0
2021-08-02,DEU,1.0
2021-08-03,DEU,1.0
2021-08-04,DEU,1.0
2021-08-05,DEU,1.0
2021-08-06,DEU,1.0
